,action,adaptation,addiction,anticipation,anxiety,arousal,association,attention,autobiographical_memory,balance,belief,categorization,cognitive_control,communication,competition,concept,consciousness,consolidation,context,coordination,decision,decision_making,detection,discrimination,distraction,eating,efficiency,effort,emotion,emotion_regulation,empathy,encoding,episodic_memory,expectancy,expertise,extinction,face_recognition,facial_expression,familiarity,fear,fixation,focus,gaze,goal,hyperactivity,imagery,impulsivity,induction,inference,inhibition,insight,integration,intelligence,intention,interference,judgment,knowledge,language,language_comprehension,learning,listening,localization,loss,maintenance,manipulation,meaning,memory,memory_retrieval,mental_imagery,monitoring,mood,morphology,motor_control,movement,multisensory,naming,navigation,object_recognition,pain,perception,planning,priming,psychosis,reading,reasoning,recall,recognition,rehearsal,reinforcement_learning,response_inhibition,response_selection,retention,retrieval,reward_anticipation,rhythm,risk,rule,salience,search,selective_attention,semantic_memory,sentence_comprehension,skill,sleep,social_cognition,spatial_attention,speech_perception,speech_production,strategy,strength,stress,sustained_attention,task_difficulty,thought,timing,uncertainty,updating,utility,valence,verbal_fluency,visual_attention,visual_perception,word_recognition,working_memory
7Networks_LH_Vis_1,-0.9359709894910913,-0.31797134208279826,-0.13766150782747236,-0.5002439292469987,-0.23172639681706964,0.6582184741025197,0.2072478482323997,-0.7126398848063953,3.3269382502960223,-0.2005318553878608,-0.07172320954800024,-0.06898199470354954,-0.6869382872825857,-0.3624780470256351,-0.2709319054324012,0.039443530701311305,0.5330144512734225,1.2911492247780763,1.2694385911702215,-0.9187213258075798,-0.6587119289998077,-1.1776258133026904,-1.080557972804167,-0.48003309847904047,0.0023088011466752814,-0.12346343297356363,-0.14194520899370958,-0.5519067591655806,0.3617746418976839,0.038805431002427115,-0.050604583096896014,4.444946441656259,5.188214848601377,-0.319628285758868,0.159735040695361,1.0065665972950575,-0.07583572597351358,-0.24944913982713998,1.4951593522521651,0.09280022944749967,0.1593517449244177,-0.613553951773903,-0.6316863386554561,0.048942868653448185,-0.40099583693409224,0.7131910670756971,-0.3386016314764587,-0.2892639765017213,0.10820526656660141,-1.0433973865123218,0.4284669945992782,0.19917337256979276,-0.853952393944861,-0.5846078965104612,-0.4920872371405933,0.4436282062012773,1.0629766772685252,0.07932670849095162,0.39171264448776183,1.2842073448093414,-0.762035549194031,-0.2965453639174855,0.013946364845977268,0.5297642482752056,0.24452484890731974,0.6364760651094263,5.097022893149208,3.0296861761091782,1.2837637065830372,-0.5704537228681631,-0.3479760335143376,-0.2510387440622452,-0.8869373573708933,-1.521141997675273,-0.29593978547004335,0.39680808009212454,3.9299341913465544,0.28027275978265676,-0.4724210161262914,0.003125119415160511,-0.47025701529922065,0.012726617720510024,-0.6527030502832639,-0.08671744506460925,-0.3125928927828996,2.359916177618353,2.5848877822138157,0.33150675436475585,0.059373211505746086,-0.9309114391042563,-0.6964693188397727,0.7171996793134374,4.471755373441447,-0.2508564685724443,-0.26699244338666833,-0.7160301937804017,-0.13976428210967293,0.34554193064310074,0.446453251152459,-0.4599646133200876,3.7977210756303528,-0.35477896051952035,-0.05661675538113404,0.7981732503650616,0.28749671641369196,-0.8294585808315696,-0.8279710017579547,-0.8428353910771629,0.23427207274834555,0.12184772718727956,0.025884354186052644,0.29813052907181925,0.5807582055150954,0.6066543280200618,-0.8405294669786131,-0.29529242018558,0.04910552211553966,-0.4578519589599877,0.6059328152738866,-0.528007560575293,-0.2463034969809803,0.10558358112061655,-0.21261662156463484,-0.672749216116408
7Networks_LH_Vis_2,0.4091017877243745,0.27127899850361725,-0.6148271198455476,-0.1778247546168598,-0.6889691220698911,0.15838125618990603,-0.507708129780826,0.6294603812496782,0.3048506405317755,-0.39251593524394796,-0.12920494242825814,0.3953113644681746,-0.5054669981108376,0.2832507418288235,1.3573646687009582,-0.0846074674336183,-0.09459036621041146,-0.35345408125239175,0.5684586970377722,0.08501832538527726,0.8086952793978756,0.0787469785566203,0.3618643258267744,0.36602172651648635,0.060631585473261855,0.33747276838539103,0.15731658201246468,-0.41609031966319615,-0.24208210989146997,-0.671578530398744,0.04350237144268696,1.5888218519968587,0.51040905596384,0.6629707254025415,0.6302709570782394,-0.21677847359294725,1.1253990789678385,0.7937050037418485,1.025925320944778,0.211624837599505,0.800095310244476,-0.4705944878320038,1.2506317490420429,0.31638745212843766,-0.6737303735054616,0.6868113558924377,-0.8185058581611506,0.24519390269621688,-0.017165833612600764,-0.45514571908230245,-0.12115644998673188,0.5471895433660965,-0.44283948758919683,0.07788727328751065,0.5722244456848122,0.8399221207655986,-0.040265898856059815,0.3159854017237667,-0.6687854033405852,0.45141348257334,-0.9477109125574787,0.02144908553331899,-0.4912861877130705,0.24602426919134665,0.33981756130127705,0.5459811705987218,0.9324256802738469,-0.07007413187588174,0.652585599529318,-0.05472386789364034,-0.52378708108954,-0.7917917046135223,-0.11926932529403729,-0.3221056964664989,0.6952176544934275,1.0278562490483893,1.936452922401403,0.9841997185783155,-0.9009064135356131,2.2164362465199647,-0.06538741491083791,0.6665388760849146,-0.6457775391368018,2.356787466008447,0.01828324939720691,-0.34173336331556525,1.440910995976634,0.6157242564741161,0.5493597976505945,-0.714740689356101,-0.5162442628884568,0.15148112442344042,1.1259897739652647,0.266225259989131,-0.030630661005367616,-1.1255942921193995,0.4736914498554619,0.4039988814426975,0.7424676416538865,0.3928468848756258,-0.140017822428665,-0.4115203115220288,0.631937971157013,-0.2040142349420204,-0.06538340597902405,1.216173598148313,-0.5238617496590147,-0.049662530704648065,-0.07450981443352309,-0.23555828189001665,-1.1584352167653182,-0.37693235837317246,0.543636373769537,-0.06491280359658597,0.6666454218058924,-0.24659897232787645,-0.044410467468081756,-0.7847010085536709,0.11050674384413371,-0.38541488628296294,0.6825205548168409,0.5247089250366778,0.6088219929189549,0.23972171333996506
7Networks_LH_Vis_3,0.048114144184958414,0.10438161544512874,-0.5145688677506234,0.07104790203562895,-0.4708131703749507,0.35464987730952047,0.07773267987713144,0.5092887562771206,0.32839861167712414,-0.5275003388462696,-0.5252332717379349,0.10982225087169598,-0.5840310421057763,-0.7228167679724763,0.3137573190735744,0.03636714935938928,0.21849657818343513,0.18414034799338377,0.09383602605442581,0.4016010674863628,0.23593281580786973,0.2075566120343306,-0.08730679274710913,0.030755122458442807,0.03269243013736087,-0.04056554585625602,-0.4254103810813287,-0.3835467451533656,-0.3558730131750542,0.03839546326103169,0.43128344527352125,1.676344278903752,1.2180597941967841,0.07098335343425848,0.37906762451344067,0.18209959484437716,0.4146755736436108,0.04287795533060745,0.7372715118938805,-0.7423824329269639,0.9641932657047206,0.18695533614679896,0.37207004527936083,0.26095496028706267,-0.617723531588009,1.190698760916837,-0.04937817803400422,0.18546970766360477,0.6403081930229358,-0.48876138223691346,0.33833117290068526,-0.3165821501743738,-0.7060350931560154,-0.38478704118167134,0.1871441898547216,-0.08428582286946228,0.21505580523557385,-0.5185938984389467,-0.5270781163628532,0.578539033469849,-0.6391988035712802,-0.2872062758487383,-0.5439509132762638,0.16695854863231097,0.06642182367002282,0.3285028271276896,1.247302439532605,-0.35236961725309507,0.758536640252895,-0.1182754198725569,-0.021792628691055308,-0.4632797624768404,0.12573483122743123,-0.03697273884414251,0.7137053234285594,0.6165900905554099,3.049257341070607,0.11133730484684848,-0.37209089585041666,0.4482731046443907,0.3674943385733856,0.14866352257655435,-0.1671144397565668,0.4118072964674023,-0.19472045985211042,1.009496253816349,0.8679638498810877,0.25965416731530677,0.5675938364949007,-0.236240530989906,-0.15622060984908662,0.6604292577427702,0.9533787061313173,0.6121838220170858,0.4651437375510115,-0.9210061936362102,-0.0811858140591243,0.33415554002048425,0.4951972037179097,0.49806752921419245,0.7828389598181629,-0.16842780654642328,0.4818081244385664,0.33954019576842104,0.6492896795055607,0.27326246872908183,-0.2397444027289861,0.2955681257796476,0.2511063981119569,-0.2636005977405461,-0.6863992382476445,0.11754611317839919,0.3251124899067473,0.040172934785689965,0.46295343074453005,0.16982017056270615,-0.03385356916821828,-0.5107216970948157,0.37686655452892787,0.16851345740281612,0.6703046293376286,0.4577270879100929,-0.25171806700240157,0.13905089662519443
7Networks_LH_Vis_4,0.8394775918259151,0.2508824756020762,-0.6653037969151966,-0.24059759946746162,-0.7161256659557854,-0.14941462673924746,-0.9027560897080981,0.21874672605076154,0.2631968812724704,-0.2968468785840535,-0.18674554858823886,0.5775233276750427,-0.6811617360257431,0.2538193664019891,0.20652333702991887,-0.31333508856252806,0.04270653991066877,-0.25818818212318445,0.12594309122807348,-0.26278468984765274,0.6477541223094757,0.40038012258151945,0.38180377604612753,0.5330225006437543,-0.12343890550884551,0.1249787713799288,0.36423494393993605,0.004629052271327991,-0.4092701503846173,-0.3584768243506274,0.24635381209714366,0.5164880785964582,0.3322470544565463,0.30207310160352235,0.9849859795032514,0.03637937498903997,1.1248204077373876,0.7653584262937938,0.536802902101449,-0.19610206968750815,0.2094877707142133,0.05983461055259798,0.8578137036569428,0.4335066516314832,-0.4722732018931413,0.22061904870358776,-0.3022389407106586,-0.17007854111237172,-0.05029247502816598,-0.5309395620884818,-0.43049803698058386,0.14796265417511964,-0.5022609905989173,-0.15631795531371118,0.020114795009509027,0.7151479587055981,0.28706811728328047,0.7321638222779057,0.034626992888163524,0.31925361713910116,-0.7208062582116624,0.5392148083911528,-0.40686659196705666,0.356019241063636,0.22007704807214518,0.7295829345633604,0.18532890936451782,-0.1733121530868828,0.48297248770411033,-0.11252275183817181,-0.6642686433425956,-0.4794591489835166,0.045056353979172035,-0.7287048639952624,0.13950434528897385,0.7229291686921322,0.31605689735963566,0.9443086752090414,-1.13547650074823,1.0846577453169088,0.12348903101759913,0.17940748080068117,-0.6142833667247505,2.339693166421537,0.07851039719632603,-0.5294125746335677,1.2171460162247882,-0.10822607284120428,0.09439364032825999,-0.3591148248329633,-0.4908269176278388,0.4221384374942166,0.49459104825636196,-0.1811771552000868,-0.33229810800691695,-1.0236331427794918,0.38226636800720654,0.08274025329156486,0.07401296428710229,0.37305148752861367,-0.04856493083669311,0.3728398470983221,0.3800637615924035,-0.24556064319540083,-0.0017346705762637576,0.3645823214084572,-0.24429394123273096,0.3513191478054705,0.07350152111957325,-0.5243063737146743,-0.919650870032061,-0.22945619935044403,0.2761197093660127,-0.09639599695465234,0.2775985162121312,-0.24626342812778526,0.2099158211461803,-0.5675293461952634,-0.0782554517517674,-0.16926232149879566,0.33549178009437647,0.5112485036580269,0.4468203445630063,-0.11667780058006544
7Networks_LH_Vis_5,0.1494116628748227,-0.5116203141884382,-0.4979157347679555,-0.00988592916273127,-0.27870720514658626,0.1893441818367881,-0.476859218285874,0.5007549962727086,0.27341543509307936,-0.039420735553231605,-0.14943486050982485,0.10762506059959033,-0.861862329941465,-0.4158691467394478,0.7461025646367035,0.05477273886163449,0.040745632565877814,-0.4794541840169583,0.040048010653742604,0.18731521960674302,0.7519150664179517,0.5570367002609371,0.024659271356222,0.28417374730003164,-0.35008491831838245,-0.3029993435841025,0.49452134612637316,0.24712967402526156,-0.1576131375402338,-0.040287685876922864,-0.18179388445545863,0.8236219139057812,0.4907682212700047,0.3242626092076536,0.6399317035359288,-0.02423358091245316,0.07602518149168759,-0.2508965049623663,0.3923351360326203,-0.49177459446629246,1.0268634818974498,0.004244482034840791,1.1214761486096252,-0.03249381257359396,-0.5136063435707744,2.159012024187783,-0.6807276370633006,0.34586278482359195,0.13588242020770444,-0.647390436492187,-0.43929925236472106,0.33781253006942463,-0.7661360510037831,-0.12168153445716236,-0.015226890219662505,0.4530986519581829,0.2905482277813469,0.2596960346043529,-0.15715239337467665,-0.0012651178102865265,-0.802773919829036,0.3407215034113908,-0.6221902529081209,0.49796044886447877,0.40198482698258503,0.09918988494886817,0.3275505126665892,-0.17977461343954967,1.883618317579982,0.4336307386062524,-0.24362610866217288,-0.7118630416262719,-0.3979930278366144,0.016022890564944416,0.07731276351950005,-0.06888629636425869,0.4012655352014941,0.05187994119173821,-0.6287503698156166,0.20885175384147153,0.19844981141148876,-0.46435626970940747,-0.3412290996742212,0.5645658775616417,0.9384686570323009,-0.31950681944183507,0.34713238054893475,0.4036740169218185,0.592161583958517,-0.5750582038447217,-0.3711023380774051,-0.21622700137321263,0.43124917915627026,0.34954992333463486,-0.2729402086986328,-1.068361612842032,0.39085045926295514,0.3459345087875296,0.6752522440232838,0.33282522222894356,-0.15792138389728566,0.17064128213740176,0.3230384146991573,0.18526992068012313,0.2319913555829293,0.5471851518856913,-0.21731927362981868,0.35617547834349816,0.5080829453987468,-0.06871437878096495,-0.9792824142674234,-0.22944346264365076,0.4425259930874349,0.1373473959803974,-0.02152922688062614,0.3168783266028059,0.3253258306875493,-0.618118998239987,0.05840438131697923,0.13139293875823668,0.2318051763624817,0.4364303081581516,0.015048835722124563,0.14226126372389403
7Networks_LH_Vis_6,-0.26159490543873903,-0.4927267605193661,0.16251793648283508,-0.03548119136476394,-0.29931498807231116,-0.3600547506136532,0.5929486487954184,0.734210677023932,0.7472487095020447,-0.49288359939116844,-0.40924438200090696,0.3555792865213247,-0.1258846324986761,-0.3952353492561278,0.11992786252010061,-0.2519440383367066,0.32194594716663555,-0.131495696277399,-0.11262311955932183,-0.17772794681991552,0.382837421439371,0.09896202262884388,-0.31303867241759237,0.07742776077191071,0.07841665554495388,-0.20567110985779427,-0.33049556096370286,0.34977402484579795,-0.6884928552165877,-0.025164845214343538,-0.21065786831706848,0.5264422707884036,1.1635800235495186,-0.29951544226031795,0.2431610752716449,-0.04265712869048539,-0.18554600570045054,-0.02536041729424008,0.34959007035018913,-0.44179947902679145,0.5770790125899937,0.28001172839391403,1.070807262893504,-0.057725184573476425,-0.22035230834042244,0.8624286884600139,-0.25366367106810317,-0.025386323981181638,0.012102784703968394,-0.656063196307545,0.19886741452637346,0.11080113314683844,0.20631430228793673,-0.22746964749448373,0.22145426586402195,0.26159120416028125,-0.37130285726657575,0.33499681344868554,-0.09703461346756534,-0.05554907141400914,-0.6413244378862182,-0.07252670727935356,-0.46997756509771865,0.7692552174603616,0.8249717493304789,0.5239787292111765,1.1939009522046895,0.23079958106291898,1.144797022710224,0.558179832434925,-0.15599053679327865,-0.382850022988942,-0.5491942198341653,-0.3564316746729597,0.21917292624012405,0.35042334724423707,2.627972706043233,-0.30226194239861376,-0.33968544321406824,0.06454224243460267,0.21676106304110268,0.05045088994488707,-0.03002527300824476,0.7085529506659597,0.010775460812435982,1.5392983952752384,0.1640270378000718,-0.17950907402114819,-0.02153336871605883,-0.15900955318878374,-0.317754329814196,0.12411647428448856,1.4086141699234318,-0.09273863157266102,-0.5660307988446435,-0.557859632001912,0.020408314253312708,-0.10080089245313587,0.5098890382667381,0.045449140264487084,0.8220718215212494,-0.34849637490523616,0.5781896276794585,-0.4308616525774691,-0.05258078431084054,-0.07873519377727627,0.19608928354917052,0.43003138488839565,0.7155012258935038,-0.20403955025639287,-0.624156978340761,0.07243227617386924,0.00648390440815404,0.753471682367601,0.17584500684905296,0.20980767425934066,0.13680988800098945,-0.3292083581697214,-0.11353235090751572,0.054486987664100234,0.7225790687924557,0.46347072902042774,-0.2931912484198269,-0.36160974705147825
7Networks_LH_Vis_7,3.213411642361078,0.15003817513075143,-0.44056649632047123,-0.6767092660545484,-1.2894493471893156,0.6410535579372594,-0.9533007321942085,0.6118515433689377,0.7365392559103917,-0.36299913509805715,-0.1337107951073034,0.01344642128946057,-1.099790271317292,0.41133205720295046,0.6382041044520402,-0.5911186884712308,-0.41690135352973157,-0.019885336948677487,0.2603829021984597,0.195386697623888,-1.2849102499096217,-1.4108256162756336,0.4904193842658484,-0.03324304535302973,-0.07281742861854083,-0.18309725105723318,0.03996124932966798,-0.47053198465756707,0.24516027961044973,-0.12249289360812757,1.5083180020074085,-0.18190516302972323,-0.03315999291257213,0.0018381611542310989,0.6592787786931114,-0.2500295594698355,0.2522600380647165,0.0020705492409732024,0.6015649775241517,0.22310338410317704,0.7361676989362566,-0.21289167955488827,2.3621794519061305,-0.056958847353794105,-0.9617626368724059,0.5245341778588488,-0.5890363611007917,-0.07893372615649537,0.15508089802452255,-0.8660194540050555,-0.43763419326149144,0.8524732936007258,-0.39376975523144075,0.6594248635022819,-0.3711446172378792,0.1911456941845716,0.3669584078735967,0.6150013736963852,-0.04928831877503293,-0.8001955638422367,-0.3000022738421801,0.4853587408627298,-0.4959032618912288,-0.17658148747335026,0.41477347065992765,0.8154300681465899,-0.8362307580904393,0.23057031325548025,0.8213986959896099,-0.6522342587097122,-1.1057934362811552,-0.6888909404717027,-0.22036397091910193,1.0564782556099734,1.9889314648532046,0.9158425237826424,0.8789759481700571,1.118017555567547,-0.516664813913799,3.367211344030575,0.6089138865060028,-0.49780120189026833,-0.8750367781170659,0.5908251274883043,-0.13645312436881554,-0.2794747395449887,0.9967139095954926,-0.2330768154229202,-0.48017706757789885,-0.43000570970421603,-0.3302313388720032,0.08103396864452302,0.6583391096425675,-0.3241044230689071,-0.10675082879219593,-1.8009459650956372,-0.6813377399647562,-0.2597193218939914,-0.018724708512866922,0.05957213779589017,1.1463318342528914,-0.3352219720320053,0.4588878189674577,-0.6211640554537906,1.084505685965574,0.8867852894619238,-0.3573932286760372,-0.2940008937886655,-0.18741243297223753,-0.17315113597602663,-1.3137375610262978,-0.4391144666349562,-0.03142592123896769,0.486995575879609,-0.21672046392327052,-0.4975771609809773,-0.4114137837834897,0.026279962501298684,0.5939582375919792,-0.5403996264437136,0.6390079386869477,2.2327923251011956,0.06023414131478457,-1.198651982439723
7Networks_LH_Vis_8,0.9254750162472725,-0.3059293323287216,-0.23840967930714083,-0.33002100490818387,-0.8074092145872813,-0.18455942757081747,-0.7470977932146451,1.4529799371998184,0.21629248375626875,-0.16397682725668494,-0.3173987422198131,0.03249628527881747,-0.6710532410673254,-0.46595349133246494,-0.23597068202728838,-0.2618967868056434,0.10400999215365614,-0.2943560220230159,0.04318956845567945,-0.04181049474843786,-0.218963491190606,-0.15846775298889293,0.6198471541867585,0.3578708560990382,-0.010230625065002505,-0.45543218637421035,0.07364823332994912,-0.22405220750879518,-0.5139093867391965,-0.42768827898060385,0.22417060280539042,1.215516745793068,0.5344807395734446,-0.13836646616192874,0.32098076152733157,-0.025105786527514537,-0.06598784522271765,0.1723052598006816,0.32975089706929184,-0.2951299095970691,0.982155857598447,-0.22433742448194727,1.0662243585117974,0.7587390925343651,-0.35910709915016814,0.6922919920301501,-0.18955361789320635,-0.28714658434940077,0.19346893802755202,-0.2929183634500692,-0.1255346867012365,0.021731399305877093,0.16785714566171936,-0.03735151880710747,0.08323451183827071,0.031315928076655675,-0.20359209315931084,-0.29853203799558187,-0.1225570008716325,-0.13520136976249214,-0.7757152531168995,0.8731693136715334,-0.8036067268090119,0.9048147111416959,0.2657863521977868,0.29544228014852136,0.7879498705376808,-0.4302372474417915,0.860142860635452,-0.060563539612153626,-0.5883176897865829,-0.7098165525364096,-0.13867174247380012,-0.3063094547834917,0.8896539635796192,0.6211244908449763,1.4523485902216229,0.6051984318991129,-1.0876102753082706,1.2722448410821932,0.6689265160846138,-0.29788526779307883,-0.6814549610456496,0.6898792660589916,0.1629009486753115,-0.20851608707394417,0.466832978520627,0.009431742392369229,-0.3702370333124807,0.11560899590050298,0.16947543504082532,0.48043530604343293,0.3769054392583883,-0.23493529811812222,-0.17822198888632235,-1.091909803419851,0.3874671344272071,0.25294190860004306,0.46704445586103416,1.1232183094847292,0.06416598774788877,-0.0004293491055168431,0.4556531794338077,-0.39369864493588097,-0.06544083290280023,1.68761432943833,-0.2468716623922806,-0.39020718755813066,0.09469192904612951,-0.3350921413583149,-0.7872902768809971,-0.3160501904750284,0.07116128514629183,0.2738826315426468,0.4392386483009999,0.17424129462624516,0.2483257373617459,-0.3163481541268804,-0.3567732472559288,-0.4454517296872755,0.7921553180116568,1.4244158782991108,0.004277198915690676,0.48026413808839247
7Networks_LH_Vis_9,0.06822080106028573,-0.45989909138069063,-0.4614391637414143,-0.2590088963190294,-0.39372922290931367,0.14491430207045472,0.23114995937423094,0.6439137488909548,0.6715922588116845,0.15589691038036893,0.22648884592531626,0.32694296391920175,-0.08511144299067841,-0.6171959388813194,0.29604890949252344,-0.31268616097103813,0.4189322800440658,-0.143128666226887,-0.02342661912978915,0.07550229968418859,-0.09200470069208026,0.07943756806125704,0.08618947816401026,-0.05907541320117146,0.13878192635342612,-0.12620298145276956,-0.7320144568694881,-0.07381388744118479,-0.07623867121974465,0.10910484387238134,0.2599520079211635,0.41860537925477453,1.2791215800324465,-0.10563278704563807,0.07761275007482765,-0.15580951932653464,-0.6272265286866636,0.09101589089484434,0.004600501433833504,-0.40756963318154715,0.8520552110194454,0.007537970040436264,0.1987947354718464,0.1057156336526201,-0.06653988473173851,0.9227939003645557,-0.3927841252160008,0.22543463946370418,0.39941141228187665,-0.22657432491332039,0.36215152953433677,0.3846386485330873,-0.031469232776720264,0.3476091356364361,-0.14139933792544093,-0.20446331823495514,0.23220846132546152,-0.14913468691652412,-0.16879941089500036,0.06858177356114292,-0.273325199479407,0.2814308765965116,-0.03597381559675004,0.2259244173295761,0.5909392919794993,0.38347377867792326,1.02509488660114,0.23489469300245303,0.8425279847696034,0.66986726946604,-0.5550402238691934,-0.43485332616000233,-0.42802377440466494,0.026867640079962302,1.1677232583114627,0.11538961947339141,1.5183146678693464,0.5024692193057952,-0.1475895605323191,-0.24672045076941035,0.6264385685189521,-0.20791977423218708,-0.08128805039815483,0.309201928576887,0.26797276389163993,-0.178611204207435,-0.0022616750128360407,-0.31035352719998743,0.05383424085454083,0.09345269658627431,-0.06041827545762283,-0.10883112997805214,0.9366396710243262,0.07866500108863436,-0.3758230989568705,-0.033091086920508696,0.0465759295417002,0.16487891100522478,0.24026965118836566,0.5444778875527062,0.16277873959469027,0.39788684956709613,0.2071874563309508,-0.3045623499818312,0.05815623807523837,0.6390377732538103,0.1682442256807644,-0.2791305348741387,0.007456946262861682,-0.26360591339217465,-0.36753315425619354,-0.18878927238360682,-0.03771840048841593,0.320223873229506,0.019958177346743246,0.03494189251441731,0.23756279260018137,-0.3124120367413876,-0.2280261374305988,0.08437231039179544,0.8025607969878382,0.4449111829612596,-0.37294563879960974,-0.23031646707961292
7Networks_LH_SomMot_1,-0.6425251688702692,-0.15270415246196214,-0.7525048020665271,-0.9195857866089983,-1.5113952564979973,0.1108866516599413,-0.22187877522240995,-0.6392551159308847,-0.5187620715024236,0.4254635104247363,-0.2818554545991739,0.9021242424434665,-1.0135041052555689,1.0574272339526511,0.13800639884474836,-0.2578143001149833,-0.13792091145614543,-0.18674910884135335,0.40198207753998694,0.3882861109118601,-0.6166348880663145,-1.455229817405536,0.8269074900419744,0.9400013120725887,-0.15489280794566596,-0.5707815390051326,-0.7844182726584437,0.682114481343495,-0.20940463585021266,-0.6356437736246833,0.029220741190528286,-0.2096073274240196,-0.46823386216359575,0.045855475810297475,0.012663911873600133,-0.26255330412808664,-0.9286295883794409,-0.051768946536309736,0.04975327016181659,-0.607514308152062,-0.3177531496822061,0.051981332771227066,0.15536595863472602,-0.7373821956597384,-1.0614209997928639,0.7508404264550955,-1.1517438539983225,0.2120304349933992,0.1621987507264633,-1.2604901820113583,-0.6608230949274515,2.270947383529958,-0.6701782744970931,-0.7854356033178524,-0.29547141874233795,0.056676830579459166,-0.027555269368065457,3.7431820256800736,1.230284505843923,-0.4880425011292473,7.8619809658361905,1.4755126961596838,-0.22067288945525296,-0.22559107960378638,0.07160264657089964,1.4547863677066166,-1.195967437073931,-0.6343353095052335,-0.004535338934528981,-0.19248405936908308,-1.0253875023646166,0.2619545597863228,0.5165494288159258,1.1167199622857409,2.7834309874003287,1.2453967651510849,-0.13900471461270245,-0.6566566918578349,0.005357418133651863,2.93908388951713,-0.03616205432750039,0.06967994781901331,-0.5518234299019456,1.3317986175662062,-0.7547859140060772,0.8111174260082835,-0.22200525043741162,0.9231415158743485,-0.7472239683250065,-0.9388369076998807,-0.11054984827046901,-0.32563090506558473,-0.09765188731062364,-0.6124414638648233,1.8308165316861926,-1.9486293686929352,-0.6980663340918017,-0.8669935702302664,-0.4632817387194993,0.28200831541184185,0.3813309324925179,0.6036878076062229,0.32507032660399354,-0.023140264611215232,-0.3580933361594657,-0.2722098020899273,4.308943243667449,4.2735825741735045,-0.46283787929365133,0.17063456994059134,-1.1422695216155743,-0.4050799784273152,-0.3167960609814658,-0.25071821226342256,1.2684117044982923,-0.4989316392743551,-0.607405455456984,0.09922345746860481,-0.17013499364487372,-0.08552779051563235,-0.43061838699373545,0.2934219080650202,0.387420232157377,-0.46070048407321335
